item_name,item_id,user_name,rating
Fullers 1845,294,slimweebs,16
Saranac Seasons Best Nut Brown Lager,550,Chad9976,13
Lost Abbey Amazing Grace,66738,randy1301,18
Great Lakes Burning River Pale Ale,1224,dberger624,17
Sierra Nevada Porter,366,dmradus,14
Full Sail Old Boardhead Barleywine,565,gputty,16
Green Flash Summer Saison,75779,nightrider,15
Papago El Robusto Porter,12255,Ty5592,16
Laurelwood Weizenbock,49049,CaptKirk,12
St. Bernardus Tripel,2528,Hair6a11,16
Northern Lights Whiskey Sour Dunkel,101379,acblue,10
Oskar Blues Mamas Little Yella Pils,68419,TheGent,10
New Belgium La Folie,10513,Steib,9
Avery Salvation,14733,lumpsowers,14
Otter Creek Pale Ale,2429,P-tor44,12
Cest What Rye,10236,beerhugger,13
Allagash Dubbel Reserve,3062,Beloved Beer,13
Molson Canadian Light,238,buffalobob,19
Saranac Hefeweizen,17695,emobassfoo,13
Saranac Imperial IPA,68166,dlovell2,18
Guinness Draught,1267,MadMan,12
Sint Gummarus Dubbel,15586,77ships,13
Mittenwalder Berg Gold Export,39763,Holy,8
Sapporo Draft Beer / Premium Beer,729,prpplague,11
Victory Storm King Imperial Stout,626,Frothmeister,15
Goose Island Matilda,23624,jandd1983,14
Green Flash Imperial IPA,60330,erickok,16
Porterhouse Oyster Stout,11379,kepano,14
Stone Pale Ale,420,altehkiller,17
Weyerbacher Merry Monks Ale,2322,themadmumis,15
Great Lakes Burning River Pale Ale,1224,gorditoabd,17
Gouden Carolus Nol &#40;Christmas&#41;,18375,handsomejn,17
Nethergate Augustinian Ale &#40;US Version&#41;,4127,reddragon,14
Terrapin Side Project Monks Revenge Double IPA,98259,ugabulldog77,17
Flossmoor Station Station Master Wheat Ale,18549,chimpscampee,15
Chimay Triple / Blanche &#40;White&#41; / Cinq Cents,52,jfenglish,16
Fullers Vintage Ale 2002,15234,dunkpigen,16
Ace Pear Cider,3004,JagerQueen,9
Tuppers Hop Pocket Ale,1100,MainerInExile,16
